COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,DATE,PRICE HIGH,PRICE LOW,CLOSE PRICE,OPEN PRICE,TRADE VOLUME,SHARE VOLUME,TURNOVER
JKH,N,0,JKH,29-Jul-22,122,120,120.5,121,142,"593,586","71,326,826.25"
JKH,N,0,JKH,01-Aug-22,122,119,119.75,122,222,"757,963","90,875,366.00"
JKH,N,0,JKH,02-Aug-22,121,119.25,119.5,120,251,"974,233","116,583,823.25"
JKH,N,0,JKH,03-Aug-22,120,119,119.25,120,384,"1,630,892","194,290,521.00"
JKH,N,0,JKH,04-Aug-22,121,119,120,119.5,338,"1,564,276","187,581,507.50"
JKH,N,0,JKH,05-Aug-22,121,118.75,119,120,459,"1,823,999","217,607,307.75"
JKH,N,0,JKH,08-Aug-22,119.25,118.5,119,119,266,"1,672,870","199,064,619.50"
JKH,N,0,JKH,09-Aug-22,121.75,119,119.25,120,322,"2,118,429","252,869,797.75"
JKH,N,0,JKH,10-Aug-22,124,119.5,122,119.5,341,"1,907,311","231,144,446.50"
JKH,N,0,JKH,12-Aug-22,128.25,124,126.5,125,484,"2,846,466","358,007,659.25"
JKH,N,0,JKH,15-Aug-22,133,128,129.75,128,385,"783,503","101,851,948.25"
JKH,N,0,JKH,16-Aug-22,131,129.5,130,129.75,217,"825,743","107,294,688.00"
JKH,N,0,JKH,17-Aug-22,130,127.5,128,130,127,"597,305","76,500,215.50"
JKH,N,0,JKH,18-Aug-22,128.5,127.25,127.75,128,121,"730,011","93,160,350.25"
JKH,N,0,JKH,19-Aug-22,128.75,127.5,127.75,128.5,137,"864,624","110,661,632.25"
JKH,N,0,JKH,22-Aug-22,128,126.25,127,128,221,"391,206","49,731,826.00"
JKH,N,0,JKH,23-Aug-22,127,124.75,125,127,434,"12,274,306","1,534,503,935.50"
JKH,N,0,JKH,24-Aug-22,125,123.5,124.75,125,120,"1,320,453","164,702,473.75"
JKH,N,0,JKH,25-Aug-22,125,122.5,123,125,166,"110,433","13,585,530.25"
JKH,N,0,JKH,26-Aug-22,127.5,121,124,123,118,"571,741","69,802,527.50"
JKH,N,0,JKH,29-Aug-22,126,122.75,123,126,81,"128,698","15,839,606.25"
JKH,N,0,JKH,30-Aug-22,126.5,122.5,125.75,124.25,106,"165,880","20,768,627.75"
JKH,N,0,JKH,31-Aug-22,130,125.5,127.75,126.5,122,"332,890","42,379,320.75"
JKH,N,0,JKH,01-Sep-22,129.75,128,128.25,129.75,169,"450,451","58,047,939.50"
JKH,N,0,JKH,02-Sep-22,129.75,128,128.25,129.5,96,"227,779","29,214,857.50"
JKH,N,0,JKH,05-Sep-22,129,125,127,129,79,"32,031","4,040,518.50"
JKH,N,0,JKH,06-Sep-22,127,124.25,125,127,147,"146,851","18,366,439.50"
JKH,N,0,JKH,07-Sep-22,126.75,124.5,124.75,124.5,47,"44,176","5,517,040.50"
JKH,N,0,JKH,08-Sep-22,127,124.5,125,124.75,226,"1,794,189","224,628,432.50"
JKH,N,0,JKH,09-Sep-22,132,127,130.5,127,516,"3,073,035","397,633,646.75"
JKH,N,0,JKH,12-Sep-22,135,132,132.5,132.5,297,"1,090,567","144,444,548.75"
JKH,N,0,JKH,13-Sep-22,134.5,132.5,133,134.5,245,"418,829","55,719,155.00"
JKH,N,0,JKH,14-Sep-22,143,133,139,133,497,"1,218,914","168,078,454.25"
JKH,N,0,JKH,15-Sep-22,157,149.5,151,151,"1,750","3,939,617","598,317,895.00"
JKH,N,0,JKH,16-Sep-22,155,146,147,155,890,"1,247,469","185,822,831.50"
JKH,N,0,JKH,19-Sep-22,147,141.75,143.25,147,413,"324,569","46,579,057.00"
JKH,N,0,JKH,20-Sep-22,147,143,143.25,144.75,310,"970,032","139,565,764.75"
JKH,N,0,JKH,21-Sep-22,145,143,144,143.5,220,"594,468","85,532,134.00"
JKH,N,0,JKH,22-Sep-22,144.5,142.25,143,144,227,"570,201","81,753,213.50"
JKH,N,0,JKH,23-Sep-22,143.5,142,142.75,143.5,206,"1,060,468","151,430,923.50"
JKH,N,0,JKH,26-Sep-22,143,139.75,139.75,142,222,"1,201,154","169,700,431.50"
JKH,N,0,JKH,27-Sep-22,140,137,138,140,237,"246,974","34,131,899.25"
JKH,N,0,JKH,28-Sep-22,138.25,137,137.25,138,172,"126,705","17,424,764.25"
JKH,N,0,JKH,29-Sep-22,139.75,136,138,138.25,138,"733,736","101,119,831.25"
JKH,N,0,JKH,30-Sep-22,138.25,137,137.25,137.75,118,"877,269","120,903,753.75"
JKH,N,0,JKH,03-Oct-22,138,135,136.25,138,136,"184,705","25,269,971.75"
JKH,N,0,JKH,04-Oct-22,135,128.25,130.5,135,406,"1,065,274","139,570,483.25"
JKH,N,0,JKH,05-Oct-22,135,129.75,130,130,416,"1,167,528","151,834,935.50"
JKH,N,0,JKH,06-Oct-22,130.75,129,129.25,130.25,189,"666,297","86,448,508.00"
JKH,N,0,JKH,07-Oct-22,130,128,129,130,227,"545,426","70,250,700.75"
JKH,N,0,JKH,11-Oct-22,133,128,128.5,133,314,"5,839,196","755,958,052.75"
JKH,N,0,JKH,12-Oct-22,129,127.5,128.5,129,265,"538,024","69,080,629.25"
JKH,N,0,JKH,13-Oct-22,131,129,130,129,191,"1,827,627","237,596,478.50"
JKH,N,0,JKH,14-Oct-22,132.5,131,131.75,131,80,"89,292","11,748,588.00"
JKH,N,0,JKH,17-Oct-22,133,131,131.25,133,89,"105,835","13,930,878.00"
JKH,N,0,JKH,18-Oct-22,131.75,129.5,130.75,131.75,143,"503,270","65,783,834.75"
JKH,N,0,JKH,19-Oct-22,132.5,130.75,131.75,130.75,85,"100,381","13,219,564.25"
JKH,N,0,JKH,20-Oct-22,132,129.5,129.75,130.25,133,"340,905","44,325,753.00"
JKH,N,0,JKH,21-Oct-22,130,128.75,129,129.5,162,"1,080,270","139,757,536.75"
JKH,N,0,JKH,25-Oct-22,133,129,129,133,124,"3,267,001","423,024,845.00"
JKH,N,0,JKH,26-Oct-22,131,129.25,129.75,130,113,"1,032,661","134,168,273.50"
JKH,N,0,JKH,27-Oct-22,134,130,133,130,132,"1,270,444","168,915,837.75"
JKH,N,0,JKH,28-Oct-22,135,133,134,134.25,130,"184,231","24,670,144.75"
JKH,N,0,JKH,31-Oct-22,134,132,132.5,134,92,"167,243","22,224,668.75"
JKH,N,0,JKH,01-Nov-22,132.5,130.75,131,132,49,"423,790","55,558,734.75"
JKH,N,0,JKH,02-Nov-22,131,130.25,130.25,131,77,"310,806","40,623,203.25"
JKH,N,0,JKH,03-Nov-22,130.5,129,129.5,130.5,68,"45,790","5,913,022.50"
JKH,N,0,JKH,04-Nov-22,130,129,129,130,45,"26,145","3,374,458.75"
JKH,N,0,JKH,08-Nov-22,132.75,129,132.5,130.5,198,"545,810","72,026,632.25"
JKH,N,0,JKH,09-Nov-22,137,132.5,135.5,133,314,"665,730","89,698,078.75"
JKH,N,0,JKH,10-Nov-22,141,135.5,139.75,135.5,345,"4,015,352","558,507,391.00"
JKH,N,0,JKH,11-Nov-22,139.75,137,138.75,138.75,185,"262,260","36,334,036.75"
